,Energy,dEnergy,Data,dData,EXFOR_Entry,Year,Author,Dataset_Number,MT,dData_assumed,endf7-1,endf7-1_chi_squared,endf7-1_relative_error,endf8,endf8_chi_squared,endf8_relative_error
1512815,870000.0,nan,1.35,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.316642056,0.0556376213953569,2.5335620906218437,1.316642162762384,0.05563726525856398,2.5335537764968348
1509213,870811.0,nan,1.30639,0.0260509,12876002,1978,J.A.Harvey,12876002,1,0.0260509,1.3180415482558,0.005211281635461347,-0.8840046257433218,1.3180416593473987,0.005211381009785644,-0.8840129797693828
1510858,870870.0,6e-11,1.3163,0.030350000000000002,10251002,1971,C.A.Goulding,10251002,1,0.030350000000000002,1.318143360886,0.00011195978108845957,-0.1398452505773714,1.3181434722925478,0.00011197331444452568,-0.13985369053503438
1509214,871963.0,nan,1.36343,0.026135599999999995,12876002,1978,J.A.Harvey,12876002,1,0.026135599999999995,1.3200294830014,0.07207046617432743,3.28784451843594,1.320029600242512,0.07207007679600831,3.2878353447160946
1512816,872000.0,nan,1.37,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.3200933316,0.12453377753937803,3.7805409061124005,1.3200934490386225,0.12453319144302916,3.780531673551052
1509215,873117.0,nan,1.33808,0.025997800000000005,12876002,1978,J.A.Harvey,12876002,1,0.025997800000000005,1.3220208690226,0.009919904289950833,1.2147411098943346,1.3220209924239015,0.009919751837816574,1.2147316622147248
1512817,874000.0,nan,1.41,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.3235446072000001,0.3737267472101129,6.532110238649144,1.3235447353148608,0.3737256395888729,6.5320999266845385
1510859,874060.0,6e-11,1.3116,0.025166,10251002,1971,C.A.Goulding,10251002,1,0.025166,1.323648145468,0.005768012763970721,-0.9102226682560027,1.323648273903148,0.005768135740494203,-0.9102322830535853
1509216,874274.0,nan,1.32902,0.026096200000000003,12876002,1978,J.A.Harvey,12876002,1,0.026096200000000003,1.3240174319572,0.0009589782045985484,0.3778324908762828,1.3240175615347054,0.0009589285259562651,0.3778226672081468
1509217,875432.0,nan,1.31761,0.0260054,12876002,1978,J.A.Harvey,12876002,1,0.0260054,1.3260157205296,0.002716979458948471,-0.6339080600223053,1.3260158562886475,0.0027170672223997857,-0.6339182332385135
1512818,876000.0,nan,1.38,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.3269958828,0.14047182200756667,3.994294020578251,1.3269960215910992,0.14047108635856057,3.9942831437691644
1509218,876593.0,nan,1.30661,0.026217,12876002,1978,J.A.Harvey,12876002,1,0.026217,1.3280191860154,0.01748305472945029,-1.6121142104607906,1.3280193279720038,0.017483286577900745,-1.6121247274840205
1510860,877270.0,6e-11,1.2865,0.030704,10251002,1971,C.A.Goulding,10251002,1,0.030704,1.329187442806,0.05934789517051596,-3.2115442435932193,1.3291875883765107,0.05934829994145444,-3.211554843710963
1509219,877756.0,nan,1.36401,0.025971100000000004,12876002,1978,J.A.Harvey,12876002,1,0.025971100000000004,1.3300261027768001,0.04446886233070641,2.5551300949845253,1.3300262509416365,0.04446847457604096,2.555118670349815
1512819,878000.0,nan,1.36,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.3304471584,0.043668522331734995,2.221271353274977,1.3304473078673376,0.04366808061439672,2.22125986936187
1509220,878922.0,nan,1.34449,0.025991300000000002,12876002,1978,J.A.Harvey,12876002,1,0.025991300000000002,1.3320381964516,0.005965358085511213,0.934793280070364,1.3320383508406834,0.005965210158272484,0.9347815812854007
1510861,879850.0,6e-11,1.3355,0.029473,10251002,1971,C.A.Goulding,10251002,1,0.029473,1.33363958833,0.00011743397624509186,0.13949883358887616,1.333639747672858,0.00011741386084336708,0.13948686895301957
1512820,880000.0,nan,1.38,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.333898434,0.10626771938261746,3.4561526443774153,1.3338985941435761,0.1062669810969351,3.4561402237643826
1509221,880090.0,nan,1.33423,0.025844099999999995,12876002,1978,J.A.Harvey,12876002,1,0.025844099999999995,1.334053741402,1.2020961600115041e-06,0.013212256188033532,1.3340539020260067,1.199906224033757e-06,0.013200214303625918
1509222,881260.0,nan,1.3298,0.026007800000000005,12876002,1978,J.A.Harvey,12876002,1,0.026007800000000005,1.336072737628,0.0015129014122580587,-0.4694907284117007,1.3360729044976063,0.0015129819068159594,-0.4695031593328327
1512821,882000.0,nan,1.42,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.3373497096,0.3415535251602161,6.18015540787163,1.3373498804198145,0.3415521133309475,6.180141845471305
1509223,882433.0,nan,1.35383,0.0260065,12876002,1978,J.A.Harvey,12876002,1,0.0260065,1.3380969107674001,0.009518008836289128,1.1757809995672905,1.3380970838986201,0.00951779935989312,1.1757679088232686
1510862,882440.0,6e-11,1.3592,0.029055000000000004,10251002,1971,C.A.Goulding,10251002,1,0.029055000000000004,1.338108990232,0.015309953296639773,1.5761802604990494,1.3381091634005868,0.015309701891693148,1.5761671152310326
1509224,883608.0,nan,1.25994,0.0258477,12876002,1978,J.A.Harvey,12876002,1,0.0258477,1.3401245351824,0.24874784535635824,-5.983364461832371,1.34012471458591,0.24874895844596823,-5.983377047910545
1512822,884000.0,nan,1.42,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.3408009852,0.3136241972645302,5.906843422268683,1.3408011666960529,0.3136227598353197,5.906829086307075
1509225,884785.0,nan,1.35739,0.025991300000000002,12876002,1978,J.A.Harvey,12876002,1,0.025991300000000002,1.342155610873,0.008929396069948801,1.1350687657663627,1.3421557965594764,0.008929178396896848,1.1350547737882264
1510863,885040.0,6e-11,1.2819,0.029320999999999996,10251002,1971,C.A.Goulding,10251002,1,0.029320999999999996,1.342595648512,0.12564243198704866,-4.5207690475735625,1.3425958355596967,0.12564320638074225,-4.520782349544086
1509226,885964.0,nan,1.37747,0.0259808,12876002,1978,J.A.Harvey,12876002,1,0.0259808,1.3441901378392,0.04262952739876534,2.4758299606555405,1.344190329819319,0.04262903556991736,2.4758153248397745
1512823,886000.0,nan,1.43,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.3442522608,0.36763373889555995,6.378842848214304,1.3442524529722912,0.3676320910634558,6.378827640456327
1509227,887146.0,nan,1.37447,0.026151199999999996,12876002,1978,J.A.Harvey,12876002,1,0.026151199999999996,1.3462298417188001,0.03049598258386717,2.097721904986471,1.3462300400085758,0.03049555432703826,2.097706866743544
1510864,887650.0,6e-11,1.4099,0.028584999999999996,10251002,1971,C.A.Goulding,10251002,1,0.028584999999999996,1.34709956317,0.13797078418886866,4.661900170334677,1.3470997641501878,0.13796990109470086,4.661884555330566
